record_id,insect_id,plant_name,plant_family,observation_type,plant_part,life_stage,reference,notes
227,species-0260,昆虫の死骸も与えれば食べる。,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
228,species-0262,枯れ葉,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
229,species-0264,腐朽木。また,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
230,species-0264,しばしばキノコも関係しているようである,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
231,species-0265,樹皮。沖縄では立ち枯れのソテツ樹幹から得られている。,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
232,species-0267,羊毛と各種毛皮,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
233,species-0267,それらの加工品,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
234,species-0267,羽毛や鳥のペレット,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
235,species-0268,哺乳類の毛や鳥類の羽毛,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
236,species-0268,またその加工品。鰹節も食する。フクロウの巣や鳥類のペリットなどから発生する,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
237,species-0269,哺乳類の毛や鳥類の羽毛と,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
238,species-0269,これらの加工品,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
239,species-0270,動物の毛や鳥の羽,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
240,species-0270,毛織物。ヨーロッパではハトの巣やモグラの巣からも見つかっている,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
241,species-0271,不明,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
242,species-0271,動物の毛皮やこれらの加工製品,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
243,species-0271,他にも魚粉などの動物質や,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
244,species-0271,シリアル食品や豆類などの植物性のものでも育つ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
245,species-0272,不明,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
246,species-0272,毛織物,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
247,species-0272,フクロウのペリット,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
